noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
thread,assistant,dreamed,HIGH,psychological,The assistant became very,The thread became very,The assistant dreamed and became very,The thread fell and became very,The thread dreamed and became very,3,ADJ
pants,grandfather,groaned,HIGH,psychological,The grandfather started to,The pants started to,The grandfather groaned and started to,The pants fell and started to,The pants groaned and started to,1,VERB
limousine,boy,confessed,HIGH,psychological,The boy began to,The limousine began to,The boy confessed and began to,The limousine fell and began to,The limousine confessed and began to,0,VERB
blossom,operator,screamed,HIGH-MID,physical,The operator began to,The blossom began to,The operator screamed and began to,The blossom fell and began to,The blossom screamed and began to,0,VERB
bin,translator,cursed,HIGH,psychological,The translator became very,The bin became very,The translator cursed and became very,The bin fell and became very,The bin cursed and became very,3,ADJ
hammer,priest,shrugged,HIGH,physical,The priest started to,The hammer started to,The priest shrugged and started to,The hammer fell and started to,The hammer shrugged and started to,1,VERB
shield,comedian,shaved,HIGH,physical,The comedian was very,The shield was very,The comedian shaved and was very,The shield fell and was very,The shield shaved and was very,2,ADJ
electron,uncle,snarled,HIGH,psychological,The uncle was very,The electron was very,The uncle snarled and was very,The electron fell and was very,The electron snarled and was very,2,ADJ
plane,barber,insisted,HIGH-MID,psychological,The barber was very,The plane was very,The barber insisted and was very,The plane fell and was very,The plane insisted and was very,2,ADJ
stage,photographer,retired,HIGH,psychological,The photographer became very,The stage became very,The photographer retired and became very,The stage fell and became very,The stage retired and became very,3,ADJ
key,comedian,watched,HIGH,physical,The comedian became very,The key became very,The comedian watched and became very,The key fell and became very,The key watched and became very,3,ADJ
chisel,aunt,fainted,HIGH,physical,The aunt was very,The chisel was very,The aunt fainted and was very,The chisel fell and was very,The chisel fainted and was very,2,ADJ
boat,grandson,searched,HIGH-MID,psychological,The grandson was very,The boat was very,The grandson searched and was very,The boat fell and was very,The boat searched and was very,2,ADJ
van,journalist,shivered,HIGH,physical,The journalist started to,The van started to,The journalist shivered and started to,The van fell and started to,The van shivered and started to,1,VERB
seed,grandchild,hastened,HIGH-MID,psychological,The grandchild began to,The seed began to,The grandchild hastened and began to,The seed fell and began to,The seed hastened and began to,0,VERB
road,chief of staff,glared,HIGH,physical,The chief of staff began to,The road began to,The chief of staff glared and began to,The road fell and began to,The road glared and began to,0,VERB
bed,grandson,evacuated,HIGH-MID,psychological,The grandson began to,The bed began to,The grandson evacuated and began to,The bed fell and began to,The bed evacuated and began to,0,VERB
sleigh,manufacturer,omitted,HIGH,physical,The manufacturer began to,The sleigh began to,The manufacturer omitted and began to,The sleigh fell and began to,The sleigh omitted and began to,0,VERB
cart,designer,waited,HIGH,psychological,The designer began to,The cart began to,The designer waited and began to,The cart fell and began to,The cart waited and began to,0,VERB
ball,painter,recovered,HIGH-MID,physical,The painter was very,The ball was very,The painter recovered and was very,The ball fell and was very,The ball recovered and was very,2,ADJ
limousine,programmer,slept,HIGH,physical,The programmer became very,The limousine became very,The programmer slept and became very,The limousine fell and became very,The limousine slept and became very,3,ADJ
helmet,analyst,chuckled,HIGH,physical,The analyst became very,The helmet became very,The analyst chuckled and became very,The helmet fell and became very,The helmet chuckled and became very,3,ADJ
sword,author,voted,MID,psychological,The author was very,The sword was very,The author voted and was very,The sword fell and was very,The sword voted and was very,2,ADJ
photograph,person,applauded,HIGH-MID,psychological,The person became very,The photograph became very,The person applauded and became very,The photograph fell and became very,The photograph applauded and became very,3,ADJ
vehicle,photographer,graduated,HIGH-MID,psychological,The photographer began to,The vehicle began to,The photographer graduated and began to,The vehicle fell and began to,The vehicle graduated and began to,0,VERB
glass,consultant,dreamed,HIGH,psychological,The consultant started to,The glass started to,The consultant dreamed and started to,The glass fell and started to,The glass dreamed and started to,1,VERB
kilt,father,frowned,HIGH,physical,The father was very,The kilt was very,The father frowned and was very,The kilt fell and was very,The kilt frowned and was very,2,ADJ
tub,supervisor,groaned,HIGH,psychological,The supervisor began to,The tub began to,The supervisor groaned and began to,The tub fell and began to,The tub groaned and began to,0,VERB
shoe,granddaughter,worried,HIGH-MID,psychological,The granddaughter was very,The shoe was very,The granddaughter worried and was very,The shoe fell and was very,The shoe worried and was very,2,ADJ
chair,teenager,panted,HIGH,physical,The teenager began to,The chair began to,The teenager panted and began to,The chair fell and began to,The chair panted and began to,0,VERB
lantern,uncle,stumbled,HIGH,physical,The uncle started to,The lantern started to,The uncle stumbled and started to,The lantern fell and started to,The lantern stumbled and started to,1,VERB
sword,detective,evacuated,HIGH-MID,psychological,The detective began to,The sword began to,The detective evacuated and began to,The sword fell and began to,The sword evacuated and began to,0,VERB
button,grandmother,muttered,HIGH,physical,The grandmother was very,The button was very,The grandmother muttered and was very,The button fell and was very,The button muttered and was very,2,ADJ
amplifier,inspector,nodded,HIGH,physical,The inspector started to,The amplifier started to,The inspector nodded and started to,The amplifier fell and started to,The amplifier nodded and started to,1,VERB
horn,psychologist,protested,HIGH,psychological,The psychologist began to,The horn began to,The psychologist protested and began to,The horn fell and began to,The horn protested and began to,0,VERB
automobile,partner,dined,HIGH,physical,The partner started to,The automobile started to,The partner dined and started to,The automobile fell and started to,The automobile dined and started to,1,VERB
chocolate,chief of staff,limped,HIGH-MID,physical,The chief of staff was very,The chocolate was very,The chief of staff limped and was very,The chocolate fell and was very,The chocolate limped and was very,2,ADJ
sandal,pastor,registered,MID,psychological,The pastor became very,The sandal became very,The pastor registered and became very,The sandal fell and became very,The sandal registered and became very,3,ADJ
coffin,sailor,registered,MID,psychological,The sailor was very,The coffin was very,The sailor registered and was very,The coffin fell and was very,The coffin registered and was very,2,ADJ
corpse,partner,understood,HIGH,psychological,The partner began to,The corpse began to,The partner understood and began to,The corpse fell and began to,The corpse understood and began to,0,VERB
bow,manager,trotted,HIGH-MID,physical,The manager became very,The bow became very,The manager trotted and became very,The bow fell and became very,The bow trotted and became very,3,ADJ
instrument,founder,read,HIGH,psychological,The founder began to,The instrument began to,The founder read and began to,The instrument fell and began to,The instrument read and began to,0,VERB
spoon,agent,read,HIGH,psychological,The agent began to,The spoon began to,The agent read and began to,The spoon fell and began to,The spoon read and began to,0,VERB
pants,priest,blinked,HIGH,physical,The priest began to,The pants began to,The priest blinked and began to,The pants fell and began to,The pants blinked and began to,0,VERB
trumpet,driver,stumbled,HIGH,physical,The driver started to,The trumpet started to,The driver stumbled and started to,The trumpet fell and started to,The trumpet stumbled and started to,1,VERB
clarinet,buyer,spit,HIGH,physical,The buyer started to,The clarinet started to,The buyer spit and started to,The clarinet fell and started to,The clarinet spit and started to,1,VERB
uniform,producer,paid,HIGH-MID,psychological,The producer started to,The uniform started to,The producer paid and started to,The uniform fell and started to,The uniform paid and started to,1,VERB
suit,researcher,swallowed,HIGH,physical,The researcher became very,The suit became very,The researcher swallowed and became very,The suit fell and became very,The suit swallowed and became very,3,ADJ
instrument,person,retorted,HIGH,psychological,The person began to,The instrument began to,The person retorted and began to,The instrument fell and began to,The instrument retorted and began to,0,VERB
flask,chancellor,preached,HIGH,psychological,The chancellor began to,The flask began to,The chancellor preached and began to,The flask fell and began to,The flask preached and began to,0,VERB
engine,priest,sobbed,HIGH,physical,The priest was very,The engine was very,The priest sobbed and was very,The engine fell and was very,The engine sobbed and was very,2,ADJ
pillow,aunt,preached,HIGH,psychological,The aunt started to,The pillow started to,The aunt preached and started to,The pillow fell and started to,The pillow preached and started to,1,VERB
shoe,mathematician,shuddered,HIGH-MID,physical,The mathematician began to,The shoe began to,The mathematician shuddered and began to,The shoe fell and began to,The shoe shuddered and began to,0,VERB
submarine,host,snarled,HIGH,psychological,The host became very,The submarine became very,The host snarled and became very,The submarine fell and became very,The submarine snarled and became very,3,ADJ
dress,editor,jogged,HIGH-MID,physical,The editor was very,The dress was very,The editor jogged and was very,The dress fell and was very,The dress jogged and was very,2,ADJ
rug,producer,gulped,HIGH,physical,The producer started to,The rug started to,The producer gulped and started to,The rug fell and started to,The rug gulped and started to,1,VERB
ferry,psychologist,visited,HIGH,psychological,The psychologist started to,The ferry started to,The psychologist visited and started to,The ferry fell and started to,The ferry visited and started to,1,VERB
bubble,supervisor,walked,HIGH,physical,The supervisor was very,The bubble was very,The supervisor walked and was very,The bubble fell and was very,The bubble walked and was very,2,ADJ
cannon,chemist,hesitated,HIGH,psychological,The chemist was very,The cannon was very,The chemist hesitated and was very,The cannon fell and was very,The cannon hesitated and was very,2,ADJ
machine,physician,winked,HIGH-MID,physical,The physician was very,The machine was very,The physician winked and was very,The machine fell and was very,The machine winked and was very,2,ADJ
appliance,chef,jumped,HIGH-MID,physical,The chef began to,The appliance began to,The chef jumped and began to,The appliance fell and began to,The appliance jumped and began to,0,VERB
lamp,child,scowled,HIGH,psychological,The child was very,The lamp was very,The child scowled and was very,The lamp fell and was very,The lamp scowled and was very,2,ADJ
tray,barber,crouched,HIGH,physical,The barber started to,The tray started to,The barber crouched and started to,The tray fell and started to,The tray crouched and started to,1,VERB
bagpipe,editor,sighed,HIGH,physical,The editor began to,The bagpipe began to,The editor sighed and began to,The bagpipe fell and began to,The bagpipe sighed and began to,0,VERB
wagon,mathematician,barked,MID,physical,The mathematician became very,The wagon became very,The mathematician barked and became very,The wagon fell and became very,The wagon barked and became very,3,ADJ
saddle,agent,squinted,HIGH,physical,The agent started to,The saddle started to,The agent squinted and started to,The saddle fell and started to,The saddle squinted and started to,1,VERB
penny,counsel,recovered,HIGH-MID,physical,The counsel started to,The penny started to,The counsel recovered and started to,The penny fell and started to,The penny recovered and started to,1,VERB
key,chemist,hesitated,HIGH,psychological,The chemist started to,The key started to,The chemist hesitated and started to,The key fell and started to,The key hesitated and started to,1,VERB
photograph,chemist,visited,HIGH,psychological,The chemist started to,The photograph started to,The chemist visited and started to,The photograph fell and started to,The photograph visited and started to,1,VERB
television,host,gasped,HIGH,physical,The host began to,The television began to,The host gasped and began to,The television fell and began to,The television gasped and began to,0,VERB
microscope,grandson,knew,HIGH,psychological,The grandson began to,The microscope began to,The grandson knew and began to,The microscope fell and began to,The microscope knew and began to,0,VERB
bouquet,hunter,guessed,HIGH,psychological,The hunter began to,The bouquet began to,The hunter guessed and began to,The bouquet fell and began to,The bouquet guessed and began to,0,VERB
sketch,niece,chose,HIGH,psychological,The niece became very,The sketch became very,The niece chose and became very,The sketch fell and became very,The sketch chose and became very,3,ADJ
photograph,sheriff,argued,HIGH-MID,psychological,The sheriff became very,The photograph became very,The sheriff argued and became very,The photograph fell and became very,The photograph argued and became very,3,ADJ
bucket,manufacturer,painted,HIGH-MID,physical,The manufacturer became very,The bucket became very,The manufacturer painted and became very,The bucket fell and became very,The bucket painted and became very,3,ADJ
twig,host,danced,HIGH-MID,physical,The host started to,The twig started to,The host danced and started to,The twig fell and started to,The twig danced and started to,1,VERB
sandal,priest,stepped,HIGH,physical,The priest started to,The sandal started to,The priest stepped and started to,The sandal fell and started to,The sandal stepped and started to,1,VERB
string,mediator,swallowed,HIGH,physical,The mediator was very,The string was very,The mediator swallowed and was very,The string fell and was very,The string swallowed and was very,2,ADJ
pendulum,researcher,bathed,HIGH-MID,physical,The researcher was very,The pendulum was very,The researcher bathed and was very,The pendulum fell and was very,The pendulum bathed and was very,2,ADJ
door,consultant,mumbled,HIGH,physical,The consultant began to,The door began to,The consultant mumbled and began to,The door fell and began to,The door mumbled and began to,0,VERB
tire,detective,laughed,HIGH,physical,The detective started to,The tire started to,The detective laughed and started to,The tire fell and started to,The tire laughed and started to,1,VERB
rope,chancellor,smiled,HIGH,physical,The chancellor began to,The rope began to,The chancellor smiled and began to,The rope fell and began to,The rope smiled and began to,0,VERB
lens,psychologist,complained,HIGH,psychological,The psychologist became very,The lens became very,The psychologist complained and became very,The lens fell and became very,The lens complained and became very,3,ADJ
bin,engineer,dozed,HIGH,physical,The engineer was very,The bin was very,The engineer dozed and was very,The bin fell and was very,The bin dozed and was very,2,ADJ
pistol,attorney general,grunted,HIGH,physical,The attorney general became very,The pistol became very,The attorney general grunted and became very,The pistol fell and became very,The pistol grunted and became very,3,ADJ
lantern,apprentice,trotted,HIGH-MID,physical,The apprentice became very,The lantern became very,The apprentice trotted and became very,The lantern fell and became very,The lantern trotted and became very,3,ADJ
prune,painter,practised,HIGH-MID,psychological,The painter became very,The prune became very,The painter practised and became very,The prune fell and became very,The prune practised and became very,3,ADJ
column,scout,shuddered,HIGH-MID,physical,The scout started to,The column started to,The scout shuddered and started to,The column fell and started to,The column shuddered and started to,1,VERB
wheel,host,practised,HIGH-MID,psychological,The host started to,The wheel started to,The host practised and started to,The wheel fell and started to,The wheel practised and started to,1,VERB
microscope,grandfather,pissed,HIGH,physical,The grandfather started to,The microscope started to,The grandfather pissed and started to,The microscope fell and started to,The microscope pissed and started to,1,VERB
vest,boy,hurried,HIGH,psychological,The boy started to,The vest started to,The boy hurried and started to,The vest fell and started to,The vest hurried and started to,1,VERB
dress,scientist,flushed,HIGH-MID,physical,The scientist was very,The dress was very,The scientist flushed and was very,The dress fell and was very,The dress flushed and was very,2,ADJ
hat,apprentice,argued,HIGH-MID,psychological,The apprentice started to,The hat started to,The apprentice argued and started to,The hat fell and started to,The hat argued and started to,1,VERB
screen,girl,stammered,HIGH,physical,The girl became very,The screen became very,The girl stammered and became very,The screen fell and became very,The screen stammered and became very,3,ADJ
tub,husband,meditated,HIGH,psychological,The husband began to,The tub began to,The husband meditated and began to,The tub fell and began to,The tub meditated and began to,0,VERB
amplifier,mediator,breathed,HIGH,physical,The mediator began to,The amplifier began to,The mediator breathed and began to,The amplifier fell and began to,The amplifier breathed and began to,0,VERB
table,chef,wondered,HIGH,psychological,The chef was very,The table was very,The chef wondered and was very,The table fell and was very,The table wondered and was very,2,ADJ
painting,nephew,talked,HIGH,psychological,The nephew started to,The painting started to,The nephew talked and started to,The painting fell and started to,The painting talked and started to,1,VERB
rifle,sailor,swallowed,HIGH,physical,The sailor was very,The rifle was very,The sailor swallowed and was very,The rifle fell and was very,The rifle swallowed and was very,2,ADJ
cape,chef,guessed,HIGH,psychological,The chef became very,The cape became very,The chef guessed and became very,The cape fell and became very,The cape guessed and became very,3,ADJ
telescope,researcher,dined,HIGH,physical,The researcher was very,The telescope was very,The researcher dined and was very,The telescope fell and was very,The telescope dined and was very,2,ADJ
dart,aunt,conceded,HIGH-MID,psychological,The aunt began to,The dart began to,The aunt conceded and began to,The dart fell and began to,The dart conceded and began to,0,VERB
record,collector,drowned,HIGH-MID,physical,The collector started to,The record started to,The collector drowned and started to,The record fell and started to,The record drowned and started to,1,VERB
mine,husband,leaned,HIGH,physical,The husband was very,The mine was very,The husband leaned and was very,The mine fell and was very,The mine leaned and was very,2,ADJ
yacht,teacher,sneered,HIGH,psychological,The teacher became very,The yacht became very,The teacher sneered and became very,The yacht fell and became very,The yacht sneered and became very,3,ADJ
tie,grandchild,omitted,HIGH,physical,The grandchild was very,The tie was very,The grandchild omitted and was very,The tie fell and was very,The tie omitted and was very,2,ADJ
jacket,grandfather,prayed,HIGH,psychological,The grandfather began to,The jacket began to,The grandfather prayed and began to,The jacket fell and began to,The jacket prayed and began to,0,VERB
pants,inspector,spoke,HIGH,psychological,The inspector was very,The pants was very,The inspector spoke and was very,The pants fell and was very,The pants spoke and was very,2,ADJ
tank,barber,sniffed,HIGH,physical,The barber began to,The tank began to,The barber sniffed and began to,The tank fell and began to,The tank sniffed and began to,0,VERB
map,assistant,fled,HIGH-MID,physical,The assistant was very,The map was very,The assistant fled and was very,The map fell and was very,The map fled and was very,2,ADJ
twig,vice president,stepped,HIGH,physical,The vice president started to,The twig started to,The vice president stepped and started to,The twig fell and started to,The twig stepped and started to,1,VERB
stand,secretary,walked,HIGH,physical,The secretary was very,The stand was very,The secretary walked and was very,The stand fell and was very,The stand walked and was very,2,ADJ
dagger,student,suspected,HIGH,psychological,The student was very,The dagger was very,The student suspected and was very,The dagger fell and was very,The dagger suspected and was very,2,ADJ
television,mathematician,fainted,HIGH,physical,The mathematician started to,The television started to,The mathematician fainted and started to,The television fell and started to,The television fainted and started to,1,VERB
chair,cousin,prayed,HIGH,psychological,The cousin was very,The chair was very,The cousin prayed and was very,The chair fell and was very,The chair prayed and was very,2,ADJ
bottle,woman,showered,HIGH-MID,physical,The woman started to,The bottle started to,The woman showered and started to,The bottle fell and started to,The bottle showered and started to,1,VERB
tray,inspector,panicked,HIGH,psychological,The inspector began to,The tray began to,The inspector panicked and began to,The tray fell and began to,The tray panicked and began to,0,VERB
glove,niece,objected,HIGH-MID,psychological,The niece was very,The glove was very,The niece objected and was very,The glove fell and was very,The glove objected and was very,2,ADJ
hairpin,niece,invested,MID,psychological,The niece became very,The hairpin became very,The niece invested and became very,The hairpin fell and became very,The hairpin invested and became very,3,ADJ
stone,sheriff,shrugged,HIGH,physical,The sheriff started to,The stone started to,The sheriff shrugged and started to,The stone fell and started to,The stone shrugged and started to,1,VERB
clothing,owner,danced,HIGH-MID,physical,The owner started to,The clothing started to,The owner danced and started to,The clothing fell and started to,The clothing danced and started to,1,VERB
keg,clerk,talked,HIGH,psychological,The clerk was very,The keg was very,The clerk talked and was very,The keg fell and was very,The keg talked and was very,2,ADJ
ferry,reporter,blinked,HIGH,physical,The reporter became very,The ferry became very,The reporter blinked and became very,The ferry fell and became very,The ferry blinked and became very,3,ADJ
glove,translator,saluted,HIGH,psychological,The translator became very,The glove became very,The translator saluted and became very,The glove fell and became very,The glove saluted and became very,3,ADJ
stand,photographer,argued,HIGH-MID,psychological,The photographer began to,The stand began to,The photographer argued and began to,The stand fell and began to,The stand argued and began to,0,VERB
thread,attorney,scowled,HIGH,psychological,The attorney was very,The thread was very,The attorney scowled and was very,The thread fell and was very,The thread scowled and was very,2,ADJ
prune,writer,bowed,HIGH-MID,physical,The writer was very,The prune was very,The writer bowed and was very,The prune fell and was very,The prune bowed and was very,2,ADJ
collar,painter,listened,HIGH,physical,The painter became very,The collar became very,The painter listened and became very,The collar fell and became very,The collar listened and became very,3,ADJ
key,owner,howled,MID,physical,The owner was very,The key was very,The owner howled and was very,The key fell and was very,The key howled and was very,2,ADJ
newspaper,chancellor,practised,HIGH-MID,psychological,The chancellor started to,The newspaper started to,The chancellor practised and started to,The newspaper fell and started to,The newspaper practised and started to,1,VERB
biscuit,sheriff,evacuated,HIGH-MID,psychological,The sheriff began to,The biscuit began to,The sheriff evacuated and began to,The biscuit fell and began to,The biscuit evacuated and began to,0,VERB
cannon,photographer,limped,HIGH-MID,physical,The photographer began to,The cannon began to,The photographer limped and began to,The cannon fell and began to,The cannon limped and began to,0,VERB
cape,reporter,jogged,HIGH-MID,physical,The reporter was very,The cape was very,The reporter jogged and was very,The cape fell and was very,The cape jogged and was very,2,ADJ
sandal,legislators,wailed,HIGH,physical,The legislators began to,The sandal began to,The legislators wailed and began to,The sandal fell and began to,The sandal wailed and began to,0,VERB
bread,analyst,groaned,HIGH,psychological,The analyst became very,The bread became very,The analyst groaned and became very,The bread fell and became very,The bread groaned and became very,3,ADJ
umbrella,fisher,commented,HIGH-MID,psychological,The fisher was very,The umbrella was very,The fisher commented and was very,The umbrella fell and was very,The umbrella commented and was very,2,ADJ
bomb,grandmother,replied,HIGH,psychological,The grandmother became very,The bomb became very,The grandmother replied and became very,The bomb fell and became very,The bomb replied and became very,3,ADJ
aircraft,agent,drawled,HIGH,physical,The agent began to,The aircraft began to,The agent drawled and began to,The aircraft fell and began to,The aircraft drawled and began to,0,VERB
saddle,photographer,sneered,HIGH,psychological,The photographer started to,The saddle started to,The photographer sneered and started to,The saddle fell and started to,The saddle sneered and started to,1,VERB
ring,associate,laughed,HIGH,physical,The associate started to,The ring started to,The associate laughed and started to,The ring fell and started to,The ring laughed and started to,1,VERB
road,fisher,disagreed,HIGH-MID,psychological,The fisher started to,The road started to,The fisher disagreed and started to,The road fell and started to,The road disagreed and started to,1,VERB
spoon,chef,stared,HIGH,physical,The chef began to,The spoon began to,The chef stared and began to,The spoon fell and began to,The spoon stared and began to,0,VERB
