noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
tablespoon,boy,knelt,HIGH,physical,The boy started to,The tablespoon started to,"After it knelt, the boy started to","After it fell, the tablespoon started to","After it knelt, the tablespoon started to",1,VERB
vase,woman,retired,HIGH,psychological,The woman began to,The vase began to,"After it retired, the woman began to","After it fell, the vase began to","After it retired, the vase began to",0,VERB
coffin,woman,omitted,HIGH,physical,The woman was very,The coffin was very,"After it omitted, the woman was very","After it fell, the coffin was very","After it omitted, the coffin was very",2,ADJ
collar,woman,muttered,HIGH,physical,The woman began to,The collar began to,"After it muttered, the woman began to","After it fell, the collar began to","After it muttered, the collar began to",0,VERB
bow,boy,guessed,HIGH,psychological,The boy started to,The bow started to,"After it guessed, the boy started to","After it fell, the bow started to","After it guessed, the bow started to",1,VERB
stairs,person,watched,HIGH,physical,The person was very,The stairs was very,"After it watched, the person was very","After it fell, the stairs was very","After it watched, the stairs was very",2,ADJ
telephone,child,blushed,HIGH,physical,The child began to,The telephone began to,"After it blushed, the child began to","After it fell, the telephone began to","After it blushed, the telephone began to",0,VERB
pipe,woman,gestured,HIGH,physical,The woman started to,The pipe started to,"After it gestured, the woman started to","After it fell, the pipe started to","After it gestured, the pipe started to",1,VERB
vase,girl,murmured,HIGH,physical,The girl became very,The vase became very,"After it murmured, the girl became very","After it fell, the vase became very","After it murmured, the vase became very",3,ADJ
clothing,girl,registered,MID,psychological,The girl started to,The clothing started to,"After it registered, the girl started to","After it fell, the clothing started to","After it registered, the clothing started to",1,VERB
pot,girl,cried,HIGH,psychological,The girl became very,The pot became very,"After it cried, the girl became very","After it fell, the pot became very","After it cried, the pot became very",3,ADJ
fruit,person,grunted,HIGH,physical,The person became very,The fruit became very,"After it grunted, the person became very","After it fell, the fruit became very","After it grunted, the fruit became very",3,ADJ
shirt,child,yawned,HIGH,physical,The child was very,The shirt was very,"After it yawned, the child was very","After it fell, the shirt was very","After it yawned, the shirt was very",2,ADJ
steak,girl,walked,HIGH,physical,The girl became very,The steak became very,"After it walked, the girl became very","After it fell, the steak became very","After it walked, the steak became very",3,ADJ
skull,boy,agreed,HIGH-MID,psychological,The boy was very,The skull was very,"After it agreed, the boy was very","After it fell, the skull was very","After it agreed, the skull was very",2,ADJ
telephone,man,invested,MID,psychological,The man became very,The telephone became very,"After it invested, the man became very","After it fell, the telephone became very","After it invested, the telephone became very",3,ADJ
television,girl,shrugged,HIGH,physical,The girl began to,The television began to,"After it shrugged, the girl began to","After it fell, the television began to","After it shrugged, the television began to",0,VERB
wig,boy,retorted,HIGH,psychological,The boy was very,The wig was very,"After it retorted, the boy was very","After it fell, the wig was very","After it retorted, the wig was very",2,ADJ
stairs,girl,nodded,HIGH,physical,The girl became very,The stairs became very,"After it nodded, the girl became very","After it fell, the stairs became very","After it nodded, the stairs became very",3,ADJ
plank,person,volunteered,HIGH,psychological,The person began to,The plank began to,"After it volunteered, the person began to","After it fell, the plank began to","After it volunteered, the plank began to",0,VERB
telescope,girl,gestured,HIGH,physical,The girl was very,The telescope was very,"After it gestured, the girl was very","After it fell, the telescope was very","After it gestured, the telescope was very",2,ADJ
bread,woman,hesitated,HIGH,psychological,The woman began to,The bread began to,"After it hesitated, the woman began to","After it fell, the bread began to","After it hesitated, the bread began to",0,VERB
wallet,girl,dreamed,HIGH,psychological,The girl was very,The wallet was very,"After it dreamed, the girl was very","After it fell, the wallet was very","After it dreamed, the wallet was very",2,ADJ
cart,child,panted,HIGH,physical,The child began to,The cart began to,"After it panted, the child began to","After it fell, the cart began to","After it panted, the cart began to",0,VERB
fiddle,woman,jogged,HIGH-MID,physical,The woman was very,The fiddle was very,"After it jogged, the woman was very","After it fell, the fiddle was very","After it jogged, the fiddle was very",2,ADJ
dime,girl,chose,HIGH,psychological,The girl began to,The dime began to,"After it chose, the girl began to","After it fell, the dime began to","After it chose, the dime began to",0,VERB
barrel,girl,begged,HIGH,psychological,The girl became very,The barrel became very,"After it begged, the girl became very","After it fell, the barrel became very","After it begged, the barrel became very",3,ADJ
leaf,person,panted,HIGH,physical,The person started to,The leaf started to,"After it panted, the person started to","After it fell, the leaf started to","After it panted, the leaf started to",1,VERB
bag,person,talked,HIGH,psychological,The person became very,The bag became very,"After it talked, the person became very","After it fell, the bag became very","After it talked, the bag became very",3,ADJ
cup,woman,pounced,HIGH-MID,physical,The woman became very,The cup became very,"After it pounced, the woman became very","After it fell, the cup became very","After it pounced, the cup became very",3,ADJ
telescope,person,disagreed,HIGH-MID,psychological,The person started to,The telescope started to,"After it disagreed, the person started to","After it fell, the telescope started to","After it disagreed, the telescope started to",1,VERB
magazine,girl,drawled,HIGH,physical,The girl became very,The magazine became very,"After it drawled, the girl became very","After it fell, the magazine became very","After it drawled, the magazine became very",3,ADJ
screen,child,squinted,HIGH,physical,The child began to,The screen began to,"After it squinted, the child began to","After it fell, the screen began to","After it squinted, the screen began to",0,VERB
amplifier,boy,invested,MID,psychological,The boy began to,The amplifier began to,"After it invested, the boy began to","After it fell, the amplifier began to","After it invested, the amplifier began to",0,VERB
paper,person,objected,HIGH-MID,psychological,The person began to,The paper began to,"After it objected, the person began to","After it fell, the paper began to","After it objected, the paper began to",0,VERB
clock,girl,jumped,HIGH-MID,physical,The girl was very,The clock was very,"After it jumped, the girl was very","After it fell, the clock was very","After it jumped, the clock was very",2,ADJ
pie,person,sobbed,HIGH,physical,The person began to,The pie began to,"After it sobbed, the person began to","After it fell, the pie began to","After it sobbed, the pie began to",0,VERB
rug,boy,moaned,HIGH,psychological,The boy was very,The rug was very,"After it moaned, the boy was very","After it fell, the rug was very","After it moaned, the rug was very",2,ADJ
blossom,boy,listened,HIGH,physical,The boy started to,The blossom started to,"After it listened, the boy started to","After it fell, the blossom started to","After it listened, the blossom started to",1,VERB
trombone,woman,agreed,HIGH-MID,psychological,The woman started to,The trombone started to,"After it agreed, the woman started to","After it fell, the trombone started to","After it agreed, the trombone started to",1,VERB
jacket,man,jogged,HIGH-MID,physical,The man was very,The jacket was very,"After it jogged, the man was very","After it fell, the jacket was very","After it jogged, the jacket was very",2,ADJ
pendulum,child,hesitated,HIGH,psychological,The child started to,The pendulum started to,"After it hesitated, the child started to","After it fell, the pendulum started to","After it hesitated, the pendulum started to",1,VERB
column,man,grinned,HIGH,physical,The man was very,The column was very,"After it grinned, the man was very","After it fell, the column was very","After it grinned, the column was very",2,ADJ
saddle,boy,sighed,HIGH,physical,The boy became very,The saddle became very,"After it sighed, the boy became very","After it fell, the saddle became very","After it sighed, the saddle became very",3,ADJ
pencil,child,volunteered,HIGH,psychological,The child started to,The pencil started to,"After it volunteered, the child started to","After it fell, the pencil started to","After it volunteered, the pencil started to",1,VERB
gun,boy,watched,HIGH,physical,The boy was very,The gun was very,"After it watched, the boy was very","After it fell, the gun was very","After it watched, the gun was very",2,ADJ
statue,child,exclaimed,HIGH,psychological,The child started to,The statue started to,"After it exclaimed, the child started to","After it fell, the statue started to","After it exclaimed, the statue started to",1,VERB
hairpin,man,sang,HIGH-MID,physical,The man became very,The hairpin became very,"After it sang, the man became very","After it fell, the hairpin became very","After it sang, the hairpin became very",3,ADJ
cane,person,shrieked,HIGH-MID,physical,The person started to,The cane started to,"After it shrieked, the person started to","After it fell, the cane started to","After it shrieked, the cane started to",1,VERB
overcoat,woman,squatted,HIGH,physical,The woman was very,The overcoat was very,"After it squatted, the woman was very","After it fell, the overcoat was very","After it squatted, the overcoat was very",2,ADJ
brush,girl,trotted,HIGH-MID,physical,The girl began to,The brush began to,"After it trotted, the girl began to","After it fell, the brush began to","After it trotted, the brush began to",0,VERB
necklace,man,fainted,HIGH,physical,The man became very,The necklace became very,"After it fainted, the man became very","After it fell, the necklace became very","After it fainted, the necklace became very",3,ADJ
vase,woman,interrupted,HIGH-MID,psychological,The woman began to,The vase began to,"After it interrupted, the woman began to","After it fell, the vase began to","After it interrupted, the vase began to",0,VERB
goblet,man,chuckled,HIGH,physical,The man became very,The goblet became very,"After it chuckled, the man became very","After it fell, the goblet became very","After it chuckled, the goblet became very",3,ADJ
cane,child,obeyed,HIGH-MID,psychological,The child began to,The cane began to,"After it obeyed, the child began to","After it fell, the cane began to","After it obeyed, the cane began to",0,VERB
gun,man,shrugged,HIGH,physical,The man became very,The gun became very,"After it shrugged, the man became very","After it fell, the gun became very","After it shrugged, the gun became very",3,ADJ
propeller,girl,shaved,HIGH,physical,The girl began to,The propeller began to,"After it shaved, the girl began to","After it fell, the propeller began to","After it shaved, the propeller began to",0,VERB
tablespoon,girl,cursed,HIGH,psychological,The girl was very,The tablespoon was very,"After it cursed, the girl was very","After it fell, the tablespoon was very","After it cursed, the tablespoon was very",2,ADJ
stone,person,jogged,HIGH-MID,physical,The person became very,The stone became very,"After it jogged, the person became very","After it fell, the stone became very","After it jogged, the stone became very",3,ADJ
dagger,person,painted,HIGH-MID,physical,The person was very,The dagger was very,"After it painted, the person was very","After it fell, the dagger was very","After it painted, the dagger was very",2,ADJ
yacht,man,scowled,HIGH,psychological,The man started to,The yacht started to,"After it scowled, the man started to","After it fell, the yacht started to","After it scowled, the yacht started to",1,VERB
stick,person,studied,HIGH-MID,psychological,The person was very,The stick was very,"After it studied, the person was very","After it fell, the stick was very","After it studied, the stick was very",2,ADJ
newspaper,child,hissed,HIGH-MID,physical,The child was very,The newspaper was very,"After it hissed, the child was very","After it fell, the newspaper was very","After it hissed, the newspaper was very",2,ADJ
barrel,man,applauded,HIGH-MID,psychological,The man was very,The barrel was very,"After it applauded, the man was very","After it fell, the barrel was very","After it applauded, the barrel was very",2,ADJ
microscope,person,exclaimed,HIGH,psychological,The person was very,The microscope was very,"After it exclaimed, the person was very","After it fell, the microscope was very","After it exclaimed, the microscope was very",2,ADJ
block,girl,visited,HIGH,psychological,The girl became very,The block became very,"After it visited, the girl became very","After it fell, the block became very","After it visited, the block became very",3,ADJ
ship,child,fumbled,HIGH,physical,The child started to,The ship started to,"After it fumbled, the child started to","After it fell, the ship started to","After it fumbled, the ship started to",1,VERB
bucket,person,commented,HIGH-MID,psychological,The person started to,The bucket started to,"After it commented, the person started to","After it fell, the bucket started to","After it commented, the bucket started to",1,VERB
book,child,squinted,HIGH,physical,The child was very,The book was very,"After it squinted, the child was very","After it fell, the book was very","After it squinted, the book was very",2,ADJ
screen,woman,dined,HIGH,physical,The woman began to,The screen began to,"After it dined, the woman began to","After it fell, the screen began to","After it dined, the screen began to",0,VERB
truck,child,disagreed,HIGH-MID,psychological,The child started to,The truck started to,"After it disagreed, the child started to","After it fell, the truck started to","After it disagreed, the truck started to",1,VERB
blanket,child,volunteered,HIGH,psychological,The child started to,The blanket started to,"After it volunteered, the child started to","After it fell, the blanket started to","After it volunteered, the blanket started to",1,VERB
basket,woman,mourned,HIGH-MID,psychological,The woman started to,The basket started to,"After it mourned, the woman started to","After it fell, the basket started to","After it mourned, the basket started to",1,VERB
yacht,person,gestured,HIGH,physical,The person began to,The yacht began to,"After it gestured, the person began to","After it fell, the yacht began to","After it gestured, the yacht began to",0,VERB
rifle,person,crouched,HIGH,physical,The person was very,The rifle was very,"After it crouched, the person was very","After it fell, the rifle was very","After it crouched, the rifle was very",2,ADJ
wig,boy,pled,HIGH,psychological,The boy became very,The wig became very,"After it pled, the boy became very","After it fell, the wig became very","After it pled, the wig became very",3,ADJ
mallet,girl,moaned,HIGH,psychological,The girl began to,The mallet began to,"After it moaned, the girl began to","After it fell, the mallet began to","After it moaned, the mallet began to",0,VERB
biscuit,man,enlisted,HIGH-MID,psychological,The man started to,The biscuit started to,"After it enlisted, the man started to","After it fell, the biscuit started to","After it enlisted, the biscuit started to",1,VERB
wire,man,grunted,HIGH,physical,The man started to,The wire started to,"After it grunted, the man started to","After it fell, the wire started to","After it grunted, the wire started to",1,VERB
lantern,person,applauded,HIGH-MID,psychological,The person became very,The lantern became very,"After it applauded, the person became very","After it fell, the lantern became very","After it applauded, the lantern became very",3,ADJ
well,boy,forgot,HIGH,psychological,The boy was very,The well was very,"After it forgot, the boy was very","After it fell, the well was very","After it forgot, the well was very",2,ADJ
wire,person,yawned,HIGH,physical,The person started to,The wire started to,"After it yawned, the person started to","After it fell, the wire started to","After it yawned, the wire started to",1,VERB
meteorite,man,staggered,HIGH-MID,physical,The man began to,The meteorite began to,"After it staggered, the man began to","After it fell, the meteorite began to","After it staggered, the meteorite began to",0,VERB
tire,girl,misunderstood,HIGH,psychological,The girl began to,The tire began to,"After it misunderstood, the girl began to","After it fell, the tire began to","After it misunderstood, the tire began to",0,VERB
sketch,boy,crouched,HIGH,physical,The boy was very,The sketch was very,"After it crouched, the boy was very","After it fell, the sketch was very","After it crouched, the sketch was very",2,ADJ
scroll,child,saluted,HIGH,psychological,The child became very,The scroll became very,"After it saluted, the child became very","After it fell, the scroll became very","After it saluted, the scroll became very",3,ADJ
book,man,drowned,HIGH-MID,physical,The man began to,The book began to,"After it drowned, the man began to","After it fell, the book began to","After it drowned, the book began to",0,VERB
oar,boy,sighed,HIGH,physical,The boy became very,The oar became very,"After it sighed, the boy became very","After it fell, the oar became very","After it sighed, the oar became very",3,ADJ
mallet,boy,ducked,HIGH,physical,The boy began to,The mallet began to,"After it ducked, the boy began to","After it fell, the mallet began to","After it ducked, the mallet began to",0,VERB
ambulance,woman,meditated,HIGH,psychological,The woman started to,The ambulance started to,"After it meditated, the woman started to","After it fell, the ambulance started to","After it meditated, the ambulance started to",1,VERB
sock,boy,chanted,HIGH,psychological,The boy started to,The sock started to,"After it chanted, the boy started to","After it fell, the sock started to","After it chanted, the sock started to",1,VERB
rock,woman,sang,HIGH-MID,physical,The woman became very,The rock became very,"After it sang, the woman became very","After it fell, the rock became very","After it sang, the rock became very",3,ADJ
lens,girl,enquired,HIGH,psychological,The girl was very,The lens was very,"After it enquired, the girl was very","After it fell, the lens was very","After it enquired, the lens was very",2,ADJ
car,man,swore,HIGH,psychological,The man began to,The car began to,"After it swore, the man began to","After it fell, the car began to","After it swore, the car began to",0,VERB
uniform,man,barked,MID,physical,The man began to,The uniform began to,"After it barked, the man began to","After it fell, the uniform began to","After it barked, the uniform began to",0,VERB
phone,woman,ducked,HIGH,physical,The woman was very,The phone was very,"After it ducked, the woman was very","After it fell, the phone was very","After it ducked, the phone was very",2,ADJ
fiddle,boy,pissed,HIGH,physical,The boy started to,The fiddle started to,"After it pissed, the boy started to","After it fell, the fiddle started to","After it pissed, the fiddle started to",1,VERB
football,girl,prayed,HIGH,psychological,The girl became very,The football became very,"After it prayed, the girl became very","After it fell, the football became very","After it prayed, the football became very",3,ADJ
harp,woman,clapped,HIGH,physical,The woman was very,The harp was very,"After it clapped, the woman was very","After it fell, the harp was very","After it clapped, the harp was very",2,ADJ
accordion,girl,gulped,HIGH,physical,The girl became very,The accordion became very,"After it gulped, the girl became very","After it fell, the accordion became very","After it gulped, the accordion became very",3,ADJ
spoon,boy,pounced,HIGH-MID,physical,The boy became very,The spoon became very,"After it pounced, the boy became very","After it fell, the spoon became very","After it pounced, the spoon became very",3,ADJ
biscuit,person,emigrated,HIGH,psychological,The person became very,The biscuit became very,"After it emigrated, the person became very","After it fell, the biscuit became very","After it emigrated, the biscuit became very",3,ADJ
figure,child,conceded,HIGH-MID,psychological,The child was very,The figure was very,"After it conceded, the child was very","After it fell, the figure was very","After it conceded, the figure was very",2,ADJ
wagon,girl,painted,HIGH-MID,physical,The girl began to,The wagon began to,"After it painted, the girl began to","After it fell, the wagon began to","After it painted, the wagon began to",0,VERB
ball,woman,squatted,HIGH,physical,The woman began to,The ball began to,"After it squatted, the woman began to","After it fell, the ball began to","After it squatted, the ball began to",0,VERB
helmet,woman,stared,HIGH,physical,The woman was very,The helmet was very,"After it stared, the woman was very","After it fell, the helmet was very","After it stared, the helmet was very",2,ADJ
machine,person,grunted,HIGH,physical,The person began to,The machine began to,"After it grunted, the person began to","After it fell, the machine began to","After it grunted, the machine began to",0,VERB
stage,person,waited,HIGH,psychological,The person was very,The stage was very,"After it waited, the person was very","After it fell, the stage was very","After it waited, the stage was very",2,ADJ
vase,person,talked,HIGH,psychological,The person started to,The vase started to,"After it talked, the person started to","After it fell, the vase started to","After it talked, the vase started to",1,VERB
hair,person,jumped,HIGH-MID,physical,The person began to,The hair began to,"After it jumped, the person began to","After it fell, the hair began to","After it jumped, the hair began to",0,VERB
boot,girl,gasped,HIGH,physical,The girl began to,The boot began to,"After it gasped, the girl began to","After it fell, the boot began to","After it gasped, the boot began to",0,VERB
button,woman,disagreed,HIGH-MID,psychological,The woman was very,The button was very,"After it disagreed, the woman was very","After it fell, the button was very","After it disagreed, the button was very",2,ADJ
pillow,person,paid,HIGH-MID,psychological,The person started to,The pillow started to,"After it paid, the person started to","After it fell, the pillow started to","After it paid, the pillow started to",1,VERB
accordion,woman,sat,HIGH,physical,The woman became very,The accordion became very,"After it sat, the woman became very","After it fell, the accordion became very","After it sat, the accordion became very",3,ADJ
mine,person,crouched,HIGH,physical,The person began to,The mine began to,"After it crouched, the person began to","After it fell, the mine began to","After it crouched, the mine began to",0,VERB
banner,woman,grinned,HIGH,physical,The woman began to,The banner began to,"After it grinned, the woman began to","After it fell, the banner began to","After it grinned, the banner began to",0,VERB
cane,boy,fled,HIGH-MID,physical,The boy began to,The cane began to,"After it fled, the boy began to","After it fell, the cane began to","After it fled, the cane began to",0,VERB
purse,girl,commented,HIGH-MID,psychological,The girl began to,The purse began to,"After it commented, the girl began to","After it fell, the purse began to","After it commented, the purse began to",0,VERB
saxophone,woman,inhaled,HIGH,physical,The woman began to,The saxophone began to,"After it inhaled, the woman began to","After it fell, the saxophone began to","After it inhaled, the saxophone began to",0,VERB
ski,girl,shrugged,HIGH,physical,The girl became very,The ski became very,"After it shrugged, the girl became very","After it fell, the ski became very","After it shrugged, the ski became very",3,ADJ
dress,man,learnt,HIGH,psychological,The man began to,The dress began to,"After it learnt, the man began to","After it fell, the dress began to","After it learnt, the dress began to",0,VERB
blossom,person,sobbed,HIGH,physical,The person began to,The blossom began to,"After it sobbed, the person began to","After it fell, the blossom began to","After it sobbed, the blossom began to",0,VERB
tractor,person,died,HIGH,physical,The person became very,The tractor became very,"After it died, the person became very","After it fell, the tractor became very","After it died, the tractor became very",3,ADJ
bullet,child,visited,HIGH,psychological,The child began to,The bullet began to,"After it visited, the child began to","After it fell, the bullet began to","After it visited, the bullet began to",0,VERB
cape,woman,winced,HIGH,physical,The woman began to,The cape began to,"After it winced, the woman began to","After it fell, the cape began to","After it winced, the cape began to",0,VERB
letter,boy,insisted,HIGH-MID,psychological,The boy became very,The letter became very,"After it insisted, the boy became very","After it fell, the letter became very","After it insisted, the letter became very",3,ADJ
saddle,boy,married,HIGH,psychological,The boy started to,The saddle started to,"After it married, the boy started to","After it fell, the saddle started to","After it married, the saddle started to",1,VERB
blouse,child,clapped,HIGH,physical,The child was very,The blouse was very,"After it clapped, the child was very","After it fell, the blouse was very","After it clapped, the blouse was very",2,ADJ
shirt,child,enquired,HIGH,psychological,The child started to,The shirt started to,"After it enquired, the child started to","After it fell, the shirt started to","After it enquired, the shirt started to",1,VERB
shirt,child,stepped,HIGH,physical,The child began to,The shirt began to,"After it stepped, the child began to","After it fell, the shirt began to","After it stepped, the shirt began to",0,VERB
van,person,pursued,HIGH-MID,psychological,The person became very,The van became very,"After it pursued, the person became very","After it fell, the van became very","After it pursued, the van became very",3,ADJ
cup,boy,whistled,HIGH-MID,physical,The boy was very,The cup was very,"After it whistled, the boy was very","After it fell, the cup was very","After it whistled, the cup was very",2,ADJ
wagon,woman,waited,HIGH,psychological,The woman became very,The wagon became very,"After it waited, the woman became very","After it fell, the wagon became very","After it waited, the wagon became very",3,ADJ
button,person,dined,HIGH,physical,The person began to,The button began to,"After it dined, the person began to","After it fell, the button began to","After it dined, the button began to",0,VERB
tube,boy,stared,HIGH,physical,The boy started to,The tube started to,"After it stared, the boy started to","After it fell, the tube started to","After it stared, the tube started to",1,VERB
mirror,man,whistled,HIGH-MID,physical,The man became very,The mirror became very,"After it whistled, the man became very","After it fell, the mirror became very","After it whistled, the mirror became very",3,ADJ
watch,child,knew,HIGH,psychological,The child became very,The watch became very,"After it knew, the child became very","After it fell, the watch became very","After it knew, the watch became very",3,ADJ
bagpipe,girl,mourned,HIGH-MID,psychological,The girl was very,The bagpipe was very,"After it mourned, the girl was very","After it fell, the bagpipe was very","After it mourned, the bagpipe was very",2,ADJ
propeller,boy,chanted,HIGH,psychological,The boy started to,The propeller started to,"After it chanted, the boy started to","After it fell, the propeller started to","After it chanted, the propeller started to",1,VERB
bell,girl,lamented,HIGH,psychological,The girl started to,The bell started to,"After it lamented, the girl started to","After it fell, the bell started to","After it lamented, the bell started to",1,VERB
rifle,man,guessed,HIGH,psychological,The man was very,The rifle was very,"After it guessed, the man was very","After it fell, the rifle was very","After it guessed, the rifle was very",2,ADJ
flask,girl,shouted,HIGH,physical,The girl began to,The flask began to,"After it shouted, the girl began to","After it fell, the flask began to","After it shouted, the flask began to",0,VERB
saxophone,girl,obeyed,HIGH-MID,psychological,The girl started to,The saxophone started to,"After it obeyed, the girl started to","After it fell, the saxophone started to","After it obeyed, the saxophone started to",1,VERB
basket,man,noticed,HIGH,psychological,The man began to,The basket began to,"After it noticed, the man began to","After it fell, the basket began to","After it noticed, the basket began to",0,VERB
stage,child,prayed,HIGH,psychological,The child started to,The stage started to,"After it prayed, the child started to","After it fell, the stage started to","After it prayed, the stage started to",1,VERB
horn,boy,winked,HIGH-MID,physical,The boy began to,The horn began to,"After it winked, the boy began to","After it fell, the horn began to","After it winked, the horn began to",0,VERB
tie,person,bled,MID,physical,The person became very,The tie became very,"After it bled, the person became very","After it fell, the tie became very","After it bled, the tie became very",3,ADJ
collar,person,stared,HIGH,physical,The person was very,The collar was very,"After it stared, the person was very","After it fell, the collar was very","After it stared, the collar was very",2,ADJ
